optimised_on,target_n,lambda_liq,wavg_par_score,wavg_trace_score,imputed_weight_share,sector_L1_pp,rating_L1_pp,maturity_L1_pp,duration_diff,ytm,ytm_diff_pp,top10_issuer_pct,issuer_hhi
par,100,0.09,0.9092812119582119,0.6915049549990218,0.22211936361622647,9.593,0.052,0.137,0.002,5.6368,0.0314,30.02,262.5
par,100,0.1,0.9071747012895893,0.683468906197068,0.254968441086792,4.101,0.143,2.075,0.032,5.6328,0.0274,30.0,235.5
par,100,0.125,0.9074612017274417,0.6835794882475885,0.25512396940424087,4.101,0.183,2.075,0.035,5.6378,0.0324,30.0,237.5
par,100,0.15,0.9089733034166428,0.6905070318552273,0.2249260895482977,9.593,0.088,0.386,0.018,5.6386,0.0332,30.0,269.0
par,100,0.175,0.9078216364729667,0.6837291015655689,0.25581247248550665,4.143,0.256,2.075,0.036,5.6379,0.0325,30.0,237.4
par,100,0.2,0.9092111785176681,0.691795045424619,0.21527384177630743,9.593,0.166,0.254,0.0,5.6307,0.0252,30.01,256.8
par,100,0.25,0.9057405363758144,0.694092359266161,0.1692842974583757,7.831,0.261,0.608,0.002,5.6419,0.0364,30.0,272.1
par,100,0.3,0.9090204559427948,0.6854646176132476,0.2532612554824078,4.806,0.438,2.075,0.046,5.6412,0.0358,30.0,238.3
par,100,0.4,0.909014677823573,0.6876083313420702,0.22056666605433495,4.701,0.461,2.428,0.063,5.6229,0.0175,30.0,240.2
par,100,0.5,0.9108014060065612,0.6929517440853507,0.20255681335798736,7.697,0.447,0.378,0.033,5.6676,0.0622,30.0,262.7
par,100,0.75,0.9113146760886788,0.6909163485393967,0.20831640451886763,8.653,0.476,0.641,0.021,5.6712,0.0657,30.0,263.7
par,100,1.0,0.9131509590637255,0.6870763548240669,0.24293523646121742,8.418,1.072,2.073,0.047,5.6472,0.0418,30.0,240.4
par,100,1.5,0.9146382545948935,0.6884664646392716,0.24386626332386407,10.377,1.61,2.075,0.044,5.6498,0.0444,30.0,241.4
par,100,2.0,0.9140418079620032,0.6922323482426856,0.23774085578198093,11.943,2.594,3.192,0.06,5.639,0.0336,30.0,250.4
par,200,0.0,0.8292534253281902,0.6581013527115689,0.18235849208188587,0.669,0.0,0.1,0.0,5.6054,0.0,16.78,102.4
par,200,0.0025,0.9004115103662537,0.6860095111978121,0.21714485238556597,1.226,0.001,0.1,0.001,5.6079,0.0025,30.0,212.1
par,200,0.005,0.9006599983294505,0.6845179007457582,0.21368987955542612,0.669,0.002,0.1,0.003,5.6071,0.0017,30.0,211.9
par,200,0.0075,0.9009724251825251,0.6878775466627101,0.19422701454484073,1.226,0.01,1.54,0.002,5.597,0.0085,29.7,205.2
par,200,0.01,0.9010758077849574,0.6871597253851367,0.22453196189367144,0.669,0.006,0.1,0.004,5.6139,0.0085,30.0,211.0
