bond_id,Name,Sector,Maturity_Bucket,Par Value,Liquidity_Score,Weight_Renorm,Liquidity_Score_Par,Liquidity_Score_Source,Sampled_Weight
436,WILLIAMS COMPANIES INC,Energy,3-5yr,17988000,0.6819721762180105,0.00047724035988577665,0.8301234635188959,trace_full_window,0.009055751923476078
37,AMGEN INC,Consumer Non-Cyclical,5-7yr,35637000,0.7759157253549448,0.001069735727521042,0.915862034768894,trace_full_window,0.006403277021590583
15,SPACE EXPLORATION TECHNOLOGIES COR 144A,Communications,3-5yr,44200000,0.7094987091958573,0.0012658908849408452,0.9428673402515396,imputed_sector_maturity,0.0032657098040735997
3,GOLDMAN SACHS GROUP INC/THE,Banking,10-15yr,46448000,0.7554037451195118,0.001488542604456903,0.9490886350299382,trace_full_window,0.0020000000000123135
276,GE HEALTHCARE TECHNOLOGIES INC,Consumer Non-Cyclical,5-7yr,19494000,0.5793607738279162,0.0005977342316238785,0.8402064626293682,trace_full_window,0.002000000000008351
281,AT&T INC,Communications,10-15yr,20930000,0.6138315699545431,0.0005963237682423289,0.8491200306010713,imputed_sector_maturity,0.0020000000000057615
13,META PLATFORMS INC,Communications,7-10yr,45231000,0.6830559048576976,0.001293898657803046,0.9457589751955363,imputed_sector_maturity,0.0020000000000047124
287,JPMORGAN CHASE & CO,Banking,15-20yr,20809000,0.658072355844786,0.0005900774304097516,0.8483929238248472,trace_full_window,0.002000000000001583
289,NOVARTIS CAPITAL CORP,Consumer Non-Cyclical,5-7yr,20267000,0.6672024205729801,0.0005885662196438055,0.8450832134361681,imputed_sector_maturity,0.0020000000000015205
361,ABBVIE INC,Consumer Non-Cyclical,15-20yr,20983000,0.5836437016626959,0.0005297297471563043,0.8494371924921553,trace_full_window,0.0020000000000014707
413,BARCLAYS PLC,Banking,3-5yr,16337000,0.5905326884588604,0.0004914457410856699,0.8180501792948958,trace_full_window,0.002000000000001455
24,BANK OF AMERICA CORP MTN,Banking,20yr+,50840000,0.6235753231159482,0.00115950164701824,0.9604192111780344,trace_full_window,0.0020000000000012755
277,EXXON MOBIL CORP,Energy,15-20yr,24972000,0.6693427248471883,0.0005974319894706893,0.8712634482344078,trace_full_window,0.002000000000001241
390,AMAZON.COM INC,Consumer Cyclical,5-7yr,18333000,0.7509561855891677,0.0005064571013607345,0.8325059366127745,trace_full_window,0.002000000000001199
21,BANK OF AMERICA CORP MTN,Banking,7-10yr,39821000,0.7642586656558966,0.0011817668189698458,0.929783524214717,trace_full_window,0.002000000000001166
429,RIO TINTO FINANCE (USA) PLC,Basic Industry,20yr+,16372000,0.6426001499120297,0.00047895306542051553,0.8183185620385061,trace_full_window,0.0020000000000010934
412,AON NORTH AMERICA INC,Insurance,20yr+,17433000,0.6272474220841282,0.0004914457410856699,0.8261932028550963,trace_full_window,0.002000000000000979
60,ALPHABET INC,Technology,20yr+,34116000,0.6148968322265206,0.000958107625609824,0.9103920160167492,imputed_sector_maturity,0.002000000000000937
267,SYNOPSYS INC,Technology,7-10yr,20826000,0.6576799585480197,0.0006044843063784378,0.8484953342151913,trace_full_window,0.002000000000000883
