MATURITY,OFFERING_AMT,OFFERING_DATE,COMPLETE_CUSIP,AMOUNT_OUTSTANDING,COUPON
2030-01-15,1250000,2024-09-04,90353TAN0,1250000,4.3
2034-09-15,1500000,2024-09-04,90353TAP5,1500000,4.8
2054-09-15,1250000,2024-09-04,90353TAQ3,1250000,5.35
2054-10-01,750000,2024-09-03,694308KT3,750000,5.9
2030-09-10,1500000,2024-09-03,06738ECU7,1500000,4.942
2035-09-10,2000000,2024-09-03,06738ECV5,2000000,5.335
2030-09-06,750000,2024-09-03,316773DM9,750000,4.895
2035-09-06,1000000,2024-09-03,7591EPAV2,1000000,5.502
2030-09-06,1000000,2024-09-03,80282KBM7,1000000,5.353
2034-09-09,1000000,2024-09-04,053015AH6,1000000,4.45
2029-09-10,1000000,2024-09-04,127387AN8,1000000,4.3
2034-09-10,1000000,2024-09-04,127387AP3,1000000,4.7
2030-09-11,750000,2024-09-04,13607PHS6,750000,4.631
2030-09-11,1250000,2024-09-04,251526CX5,1250000,4.999
2035-09-11,1250000,2024-09-04,251526CY3,1250000,5.403
2030-09-11,1000000,2024-09-04,80281LAU9,1000000,4.858
2029-09-11,750000,2024-09-04,863667BE0,750000,4.25
2034-09-11,750000,2024-09-04,863667BF7,750000,4.625
2034-09-12,1250000,2024-09-05,980236AR4,1250000,5.1
2054-09-12,750000,2024-09-05,980236AS2,750000,5.7
2029-09-17,800000,2024-09-10,120568BE9,800000,4.2
2034-09-17,800000,2024-09-10,120568BF6,800000,4.65
2030-09-19,3000000,2024-09-12,17327CAT0,3000000,4.542
2031-10-15,1250000,2024-09-10,682680CD3,1250000,4.75
2034-11-01,1600000,2024-09-10,682680CE1,1600000,5.05
2054-11-01,1500000,2024-09-10,682680CF8,1500000,5.7
2029-10-15,1750000,2024-09-12,42824CBT5,1750000,4.55
2031-10-15,1250000,2024-09-12,42824CBU2,1250000,4.85
2034-10-15,2000000,2024-09-12,42824CBV0,2000000,5
2054-10-15,1500000,2024-09-12,42824CBW8,1500000,5.6
2029-09-18,1000000,2024-09-16,66989HAT5,1000000,3.8
2031-09-18,850000,2024-09-16,66989HAU2,850000,4
2034-09-18,1100000,2024-09-16,66989HAV0,1100000,4.2
2054-09-18,750000,2024-09-16,66989HAW8,750000,4.7
2034-10-01,850000,2024-09-16,50540RBB7,850000,4.8
2034-03-15,998525,2024-08-08,65163LAR0,998525,5.35
2034-09-26,1000000,2024-09-23,828807DY0,1000000,4.75
2035-01-15,900000,2024-09-23,87264ADM4,900000,4.7
2055-06-15,900000,2024-09-23,87264ADN2,900000,5.25
2029-09-27,1500000,2024-09-25,68389XCS2,1500000,4.2
2034-09-27,1750000,2024-09-25,68389XCT0,1750000,4.7
2054-09-27,1750000,2024-09-25,68389XCU7,1750000,5.375
2064-09-27,1250000,2024-09-25,68389XCV5,1250000,5.5
2030-02-15,1500000,2024-09-26,11135FCB5,1500000,4.35
2032-02-15,875000,2024-09-26,11135FCC3,875000,4.55
2034-10-15,1750000,2024-09-26,11135FCD1,1750000,4.8
2035-03-23,800000,2024-09-30,134429BQ1,800000,4.75
2035-02-01,800000,2024-10-01,24703DBQ3,800000,4.85
2031-10-04,1200000,2024-10-01,00440KAC7,1200000,4.25
2029-10-04,1200000,2024-10-01,00440KAB9,1200000,4.05
2034-10-04,1500000,2024-10-01,00440KAD5,1500000,4.5
2054-10-15,900000,2024-10-07,27636AAA0,900000,5.65
2031-10-10,750000,2024-10-07,89236TMT9,750000,4.6
2030-10-18,2000000,2024-10-08,78017FZT3,2000000,4.65
2045-05-11,2446755,2024-09-05,822905AA3,2446755,4.375
2030-04-06,1355391,2024-09-05,822905AB1,1355391,2.75
2035-05-11,1192346,2024-09-05,822905AC9,1192346,4.125
2043-08-12,960281,2024-09-05,822905AD7,960281,4.55
2046-05-10,1764084,2024-09-05,822905AE5,1764084,4
2029-11-07,1075279,2024-09-05,822905AF2,1075279,2.375
2050-04-06,1664464,2024-09-05,822905AG0,1664464,3.25
2046-09-12,1004380,2024-09-05,822905AH8,1004380,3.75
2034-04-15,1440508,2024-09-05,16411RAN9,1440508,5.65
2030-10-23,2000000,2024-10-16,38141GB60,2000000,4.692
2035-10-23,3500000,2024-10-16,38141GB78,3500000,5.016
2030-10-22,2500000,2024-10-15,46647PEQ5,2500000,4.603
2035-10-22,3000000,2024-10-15,46647PER3,3000000,4.946
2032-10-21,1500000,2024-10-16,693475CA1,1500000,4.812
2030-10-18,3000000,2024-10-16,61747YFU4,3000000,4.654
2030-02-15,750000,2024-10-22,036752BB8,750000,4.75
2031-11-01,750000,2024-10-22,036752BC6,750000,4.95
2035-02-15,1200000,2024-10-22,036752BD4,1200000,5.2
2055-02-15,1350000,2024-10-22,036752BE2,1350000,5.7
2064-11-01,800000,2024-10-22,036752BF9,800000,5.85
2035-01-15,750000,2024-10-28,032095AR2,750000,5
2032-03-15,750000,2024-10-30,94106LCD9,750000,4.8
2035-03-15,1500000,2024-10-30,94106LCE7,1500000,4.95
2054-10-15,1250000,2024-10-30,94106LCF4,1250000,5.35
2029-11-01,750000,2024-10-30,718172DN6,750000,4.625
2031-11-01,750000,2024-10-30,718172DP1,750000,4.75
2034-11-01,750000,2024-10-30,718172DQ9,750000,4.9
2031-11-05,1000000,2024-10-31,345397G31,1250000,6.054
2034-12-01,750000,2024-10-31,573284BA3,750000,5.15
2054-12-01,750000,2024-10-31,573284BB1,750000,5.5
2030-03-15,1000000,2024-10-30,571748CA8,1000000,4.65
2031-11-15,1000000,2024-10-30,571748CB6,1000000,4.85
2035-03-15,2000000,2024-10-30,571748CC4,2000000,5
2055-03-15,1500000,2024-10-30,571748CD2,1500000,5.4
2029-11-15,900000,2024-11-12,14913UAU4,900000,4.7
2045-11-19,3000000,2024-11-12,38141GB86,3000000,5.561
2030-11-19,2250000,2024-11-12,404280EN5,2250000,5.286
2031-01-15,1150000,2024-11-12,446150BE3,1150000,5.272
2029-11-15,750000,2024-11-13,14149YBR8,750000,5
2034-11-15,1000000,2024-11-13,14149YBS6,1000000,5.35
2029-11-15,750000,2024-11-13,375558CB7,750000,4.8
2035-06-15,1000000,2024-11-13,375558CC5,1000000,5.1
2054-11-15,1000000,2024-11-13,375558CD3,1000000,5.5
2064-11-15,750000,2024-11-13,375558CE1,750000,5.6
2034-12-01,750000,2024-11-18,929160BC2,750000,5.35
2054-12-01,750000,2024-11-18,929160BD0,750000,5.7
2055-11-19,3000000,2024-11-18,61747YFV2,3000000,5.516
2035-11-26,1000000,2024-11-19,539439BA6,1000000,5.59
2030-01-30,750000,2024-11-18,370334DA9,750000,4.875
2035-01-30,750000,2024-11-18,370334DB7,750000,5.25
2054-12-01,1000000,2024-11-18,26875PAW1,1000000,5.65
2029-12-01,1000000,2024-11-20,03831WAB4,1000000,5.125
2031-12-01,1000000,2024-11-20,03831WAC2,1000000,5.375
2034-12-01,1000000,2024-11-20,03831WAD0,1000000,5.5
2035-01-15,750000,2024-11-21,165167DH7,750000,5.7
2045-11-29,2500000,2024-11-21,46647PES1,2500000,5.534
2035-12-03,2500000,2024-11-25,95000U3N1,2500000,5.211
2030-01-15,1350000,2024-11-25,20826FBJ4,1350000,4.7
2035-01-15,1250000,2024-11-25,20826FBL9,1250000,5
2055-01-15,1300000,2024-11-25,20826FBM7,1300000,5.5
2053-11-15,899386,2024-10-25,47214BAD0,899386,7.25
2034-12-06,750000,2024-12-02,092914AA8,750000,5
2055-02-15,750000,2024-12-03,127097AN3,15820,5.9
2030-03-11,750000,2024-12-04,876030AK3,750000,5.1
2035-03-11,750000,2024-12-04,876030AL1,750000,5.5
2031-11-15,750000,2024-12-09,925650AH6,750000,5.125
2029-12-15,750000,2024-12-10,04316JAL3,750000,4.85
2029-12-17,1000000,2024-12-09,89115A3C4,1000000,4.783
2035-02-15,1500000,2024-12-10,04316JAN9,1500000,5.15
2055-02-15,1500000,2024-12-10,04316JAP4,1500000,5.55
2030-02-15,1000000,2024-12-11,595017BL7,1000000,5.05
2036-01-16,1000000,2024-12-10,55261FAV6,1000000,5.385
2031-05-01,999056,2024-11-18,097023DR3,999056,6.388
2034-05-01,2491872,2024-11-18,097023DS1,2491872,6.528
