cusip,isin,name,title,balance,valUSD,pctVal,assetCat,issuerCat,maturityDt,annualizedRt,couponKind
20826FBG0,US20826FBG00,CONOCOPHILLIPS COMPANY,ConocoPhillips Co,6541000.0,6349747.7,0.021320246143,DBT,CORP,2054-03-15,5.55,Fixed
56585AAH5,US56585AAH59,MARATHON PETROLEUM CORP,Marathon Petroleum Corp,5331000.0,4660744.03,0.015649158773,DBT,CORP,2044-09-15,4.75,Fixed
46647PBL9,US46647PBL94,JPMORGAN CHASE & CO,JPMorgan Chase & Co,19975000.0,18432722.26,0.061890675698,DBT,CORP,2031-04-22,2.52,Fixed
023135CC8,US023135CC87,AMAZON.COM INC,Amazon.com Inc,14517000.0,9048997.75,0.03038338978,DBT,CORP,2061-05-12,3.25,Fixed
120568BF6,US120568BF69,BUNGE LTD FINANCE CORP,Bunge Ltd Finance Corp,6321000.0,6123459.9,0.020560450349,DBT,CORP,2034-09-17,4.65,Fixed
45115AAB0,US45115AAB08,ICON INVESTMENTS SIX DAC,Icon Investments Six DAC,2458000.0,2501134.46,0.008397940334,DBT,CORP,2029-05-08,5.85,Fixed
12572QAL9,US12572QAL95,CME GROUP INC,CME Group Inc,5299000.0,5296571.47,0.017784046357,DBT,CORP,2030-03-15,4.4,Fixed
95000U3K7,US95000U3K73,WELLS FARGO & COMPANY,Wells Fargo & Co,20103000.0,20527346.19,0.068923694942,DBT,CORP,2035-01-23,5.5,Fixed
05946KAR2,US05946KAR23,BANCO BILBAO VIZCAYA ARG,Banco Bilbao Vizcaya Argentaria SA,7099000.0,7406423.61,0.024868196637,DBT,CORP,2035-03-13,6.03,Fixed
404280AH2,US404280AH22,HSBC HOLDINGS PLC,HSBC Holdings PLC,10614000.0,11415627.66,0.038329710578,DBT,CORP,2037-09-15,6.5,Fixed
46647PAA4,US46647PAA49,JPMORGAN CHASE & CO,JPMorgan Chase & Co,15829000.0,13131263.53,0.04409021962,DBT,CORP,2048-02-22,4.26,Fixed
693475CE3,US693475CE34,PNC FINANCIAL SERVICES,PNC Financial Services Group Inc/The,9284000.0,9366320.3,0.031448848629,DBT,CORP,2036-07-21,5.37,Fixed
571748CB6,US571748CB69,MARSH & MCLENNAN COS INC,Marsh & McLennan Cos Inc,4882000.0,4909794.69,0.01648538434,DBT,CORP,2031-11-15,4.85,Fixed
06368ME67,US06368ME671,BANK OF MONTREAL,Bank of Montreal,6183000.0,6087020.05,0.020438097996,DBT,CORP,2032-01-14,4.44,Fixed
87938WAU7,US87938WAU71,TELEFONICA EMISIONES SAU,Telefonica Emisiones SA,18183000.0,16140941.82,0.054195673409,DBT,CORP,2047-03-08,5.21,Fixed
06051GJL4,US06051GJL41,BANK OF AMERICA CORP,Bank of America Corp,18036000.0,15999327.99,0.053720183381,DBT,CORP,2031-10-24,1.92,Fixed
29273RBJ7,US29273RBJ77,ENERGY TRANSFER LP,Energy Transfer LP,7278000.0,7231890.23,0.0242821742,DBT,CORP,2045-12-15,6.13,Fixed
68389XBY0,US68389XBY04,ORACLE CORP,Oracle Corp,26545000.0,16017412.27,0.053780904109,DBT,CORP,2060-04-01,3.85,Fixed
37940XAR3,US37940XAR35,GLOBAL PAYMENTS INC,Global Payments Inc,6299000.0,5992027.68,0.020119146629,DBT,CORP,2052-08-15,5.95,Fixed
