bond_id,cusip,offering_amt,amount_outstanding,offering_date
1274,291011BR4,1000000000.0,1000000000.0,2021-12-07
1275,717081FE8,1250000000.0,1250000000.0,2025-11-18
1276,713448ES3,1500000000.0,1500000000.0,2020-03-17
1277,277432AY6,750000000.0,750000000.0,2024-02-15
1278,369550BM9,1000000000.0,1000000000.0,2020-03-23
1279,532457CX4,1250000000.0,1250000000.0,2025-02-10
1280,89158TAA7,1500000000.0,1500000000.0,2026-01-06
1281,03938LBM5,1000000000.0,1000000000.0,2026-05-12
1282,53944YBJ1,1000000000.0,1000000000.0,2026-02-03
1283,713448FE3,1250000000.0,1250000000.0,2021-10-06
1284,13607PVQ4,900000000.0,900000000.0,2025-01-06
1285,747525BK8,1200000000.0,1200000000.0,2020-05-06
1286,055451BE7,1500000000.0,1500000000.0,2023-09-05
1287,438516BZ8,1000000000.0,948845000.0,2020-05-14
1288,260543CG6,1250000000.0,1250000000.0,2012-11-06
1289,98389BBA7,800000000.0,800000000.0,2023-07-31
1290,92343VFV1,2000000000.0,2000000000.0,2020-11-10
1291,341081HB6,1150000000.0,1150000000.0,2025-12-02
1292,20826FBF2,1000000000.0,1000000000.0,2023-08-08
1293,883556DG4,1000000000.0,1000000000.0,2026-02-09
1294,037833EV8,1000000000.0,1000000000.0,2023-05-08
1295,87264ADM4,900000000.0,900000000.0,2024-09-23
1296,532457CY2,1250000000.0,1250000000.0,2025-02-10
1297,893574AU7,1000000000.0,1000000000.0,2026-03-09
1298,83444MAS0,1247858000.0,1226007000.0,2024-12-02
1299,10373QBM1,1000000000.0,1000000000.0,2020-08-05
1300,594918CF9,1934476000.0,1934476000.0,2021-03-04
1301,29250NCQ6,1000000000.0,1000000000.0,2026-03-24
1302,171239AN6,1000000000.0,1000000000.0,2026-05-18
1303,532457CH9,1000000000.0,1000000000.0,2023-02-23
1305,37940XAD4,1000000000.0,1000000000.0,2020-05-07
1306,873923AE6,1500000000.0,1500000000.0,2026-03-10
1307,29379VBC6,1150000000.0,1150000000.0,2014-02-05
1310,478160DL5,1250000000.0,1250000000.0,2025-02-18
1311,11135FDD0,1250000000.0,1250000000.0,2026-01-06
1312,375558AS2,1000000000.0,1000000000.0,2011-12-06
1313,036752AD5,1400000000.0,1400000000.0,2017-11-14
1314,20030NEG2,1400000000.0,1400000000.0,2023-05-01
1315,254687GE0,1000000000.0,1000000000.0,2026-02-10
1316,539439BA6,1000000000.0,1000000000.0,2024-11-19
1317,341081GL5,750000000.0,750000000.0,2023-02-28
1319,25278XAN9,1200000000.0,1200000000.0,2019-11-20
1320,66989HBK3,1000000000.0,1000000000.0,2026-03-16
