cusip,window_start,window_end,n_trades,n_capped_trades,total_volume_floor,days_traded,n_customer_trades,n_dealer_trades,median_trade_size
036752BJ1,2025-09-04,2025-12-04,1890,1,2382755000.0,61,,,50000.0
036752BK8,2025-09-04,2025-12-04,1790,0,3153980000.0,62,,,100000.0
037389BE2,2025-09-04,2025-12-04,1392,0,92649500.0,63,,,10000.0
03740LAE2,2025-09-04,2025-12-04,295,0,112631000.0,55,,,100000.0
03740LAG7,2025-09-04,2025-12-04,1043,0,105761000.0,63,,,10000.0
03740MAD2,2025-09-04,2025-12-04,1887,0,474579000.0,63,,,26000.0
03740MAF7,2025-09-04,2025-12-04,851,0,876747000.0,63,,,350000.0
03769MAC0,2025-09-04,2025-12-04,1177,0,368021000.0,62,,,30000.0
03769MAE6,2025-09-04,2025-12-04,5988,0,1578603000.0,65,,,25000.0
03770DAD5,2025-09-04,2025-12-04,26196,0,636715650.0,63,,,100.0
037833AL4,2025-09-04,2025-12-04,1282,0,481553000.0,65,,,50000.0
037833AT7,2025-09-04,2025-12-04,1027,0,266390000.0,66,,,40000.0
037833BA7,2025-09-04,2025-12-04,1491,0,221825000.0,64,,,30000.0
037833BH2,2025-09-04,2025-12-04,2314,0,353913000.0,70,,,25000.0
037833BW9,2025-09-04,2025-12-04,1751,0,177411195.0,65,,,23000.0
037833BX7,2025-09-04,2025-12-04,4903,0,552292000.0,69,,,22000.0
037833CD0,2025-09-04,2025-12-04,678,0,393470000.0,62,,,99500.0
037833CH1,2025-09-04,2025-12-04,959,0,129596000.0,64,,,20000.0
037833DD9,2025-09-04,2025-12-04,728,0,277737895.0,64,,,77500.0
037833DG2,2025-09-04,2025-12-04,680,0,157108000.0,64,,,20000.0
037833DP2,2025-09-04,2025-12-04,1957,0,408245000.0,64,,,27000.0
037833DQ0,2025-09-04,2025-12-04,1366,0,226131190.0,62,,,25000.0
037833DU1,2025-09-04,2025-12-04,1302,0,248902000.0,64,,,30000.0
037833DW7,2025-09-04,2025-12-04,848,0,603016000.0,63,,,115000.0
037833DY3,2025-09-04,2025-12-04,1194,0,265632000.0,65,,,50000.0
037833DZ0,2025-09-04,2025-12-04,972,0,158722055.0,65,,,35500.0
037833EA4,2025-09-04,2025-12-04,1115,0,328375000.0,63,,,20000.0
037833ED8,2025-09-04,2025-12-04,2782,0,398322000.0,64,,,16000.0
037833EE6,2025-09-04,2025-12-04,1028,0,403810000.0,65,,,75000.0
037833EF3,2025-09-04,2025-12-04,899,0,866517000.0,63,,,118000.0
037833EG1,2025-09-04,2025-12-04,619,0,315270000.0,61,,,125000.0
037833EJ5,2025-09-04,2025-12-04,1676,0,164343500.0,63,,,16000.0
037833EK2,2025-09-04,2025-12-04,610,0,626960935.0,62,,,59000.0
037833EL0,2025-09-04,2025-12-04,854,0,483545000.0,61,,,100000.0
037833EN6,2025-09-04,2025-12-04,1415,0,154700000.0,66,,,27000.0
037833EP1,2025-09-04,2025-12-04,2859,0,372308000.0,65,,,15000.0
037833EQ9,2025-09-04,2025-12-04,2177,0,224430000.0,65,,,3000.0
037833ER7,2025-09-04,2025-12-04,1481,0,398606535.0,65,,,20000.0
037833EV8,2025-09-04,2025-12-04,1352,0,107949200.0,64,,,21000.0
037833EW6,2025-09-04,2025-12-04,1880,0,369441000.0,65,,,25000.0
037833EZ9,2025-09-04,2025-12-04,1319,0,685328000.0,63,,,100000.0
037833FA3,2025-09-04,2025-12-04,1695,0,426203000.0,64,,,50000.0
037833FB1,2025-09-04,2025-12-04,2381,0,761134000.0,64,,,30000.0
038222AM7,2025-09-04,2025-12-04,323,0,141275000.0,56,,,100000.0
038222AN5,2025-09-04,2025-12-04,874,0,193208000.0,64,,,69500.0
038222AP0,2025-09-04,2025-12-04,185,0,90109000.0,46,,,139000.0
03831WAB4,2025-09-04,2025-12-04,615,0,321710000.0,62,,,135000.0
03831WAC2,2025-09-04,2025-12-04,683,0,453833000.0,61,,,65000.0
03831WAD0,2025-09-04,2025-12-04,577,0,669629000.0,62,,,211000.0
03835VAJ5,2025-09-04,2025-12-04,1040,0,944994000.0,61,,,100000.0
03938LBF0,2025-09-04,2025-12-04,1643,0,250023000.0,65,,,44000.0
039482AB0,2025-09-04,2025-12-04,1062,0,380319000.0,63,,,50000.0
039482AC8,2025-09-04,2025-12-04,170,0,73019000.0,49,,,191000.0
039482AD6,2025-09-04,2025-12-04,452,0,167889375.0,57,,,50000.0
04010LBH5,2025-09-04,2025-12-04,4640,0,983543000.0,64,,,25000.0
04010LBK8,2025-09-04,2025-12-04,4296,0,651567000.0,63,,,20000.0
04020EAD9,2025-09-04,2025-12-04,480,0,183775000.0,59,,,39500.0
04020EAJ6,2025-09-04,2025-12-04,1151,0,248580000.0,63,,,25000.0
04316JAL3,2025-09-04,2025-12-04,1536,0,350694000.0,63,,,10000.0
04316JAN9,2025-09-04,2025-12-04,1129,0,747922000.0,63,,,100000.0
04316JAP4,2025-09-04,2025-12-04,737,0,1030731000.0,63,,,350000.0
04351LAB6,2025-09-04,2025-12-04,166,0,56426000.0,41,,,59500.0
04351LAD2,2025-09-04,2025-12-04,255,3,1348241000.0,12,,,1500000.0
04351LAE0,2025-09-04,2025-12-04,289,1,1489159000.0,12,,,1000000.0
04352EAA3,2025-09-04,2025-12-04,268,0,36982000.0,50,,,25000.0
046353AD0,2025-09-04,2025-12-04,683,0,416397000.0,63,,,115000.0
046353AG3,2025-09-04,2025-12-04,307,0,201152000.0,53,,,200000.0
046353AM0,2025-09-04,2025-12-04,344,0,231718000.0,60,,,145000.0
046353AU2,2025-09-04,2025-12-04,400,0,284547500.0,55,,,300000.0
046353AW8,2025-09-04,2025-12-04,986,0,176974000.0,64,,,20000.0
046353AZ1,2025-09-04,2025-12-04,244,0,158468000.0,53,,,166000.0
04636NAB9,2025-09-04,2025-12-04,347,0,89757000.0,62,,,50000.0
04636NAM5,2025-09-04,2025-12-04,564,0,183664000.0,64,,,55000.0
04636NAN3,2025-09-04,2025-12-04,950,0,226279000.0,63,,,25000.0
04686JAH4,2025-09-04,2025-12-04,2569,0,541876000.0,65,,,20000.0
04686JAL5,2025-09-04,2025-12-04,1820,0,1033519000.0,63,,,30000.0
049560AM7,2025-09-04,2025-12-04,217,0,45021000.0,48,,,89000.0
05253JB59,2025-09-04,2025-12-04,91,0,63724000.0,31,,,394000.0
052769AH9,2025-09-04,2025-12-04,1537,0,150342000.0,63,,,6000.0
053015AF0,2025-09-04,2025-12-04,768,0,250381000.0,63,,,29500.0
053015AH6,2025-09-04,2025-12-04,2130,0,418395000.0,63,,,25000.0
053015AJ2,2025-09-04,2025-12-04,1388,0,490389000.0,63,,,33000.0
053332AZ5,2025-09-04,2025-12-04,1405,0,110480500.0,63,,,15000.0
053332BB7,2025-09-04,2025-12-04,1154,0,106831000.0,63,,,20000.0
054561AM7,2025-09-04,2025-12-04,335,0,139901000.0,53,,,50000.0
054989AA6,2025-09-04,2025-12-04,1927,0,445851000.0,63,,,8000.0
054989AB4,2025-09-04,2025-12-04,1125,0,337053000.0,63,,,35000.0
054989AC2,2025-09-04,2025-12-04,601,0,227830000.0,61,,,70000.0
054989AD0,2025-09-04,2025-12-04,987,0,595269000.0,64,,,120000.0
054989AF5,2025-09-04,2025-12-04,1036,0,2126134000.0,53,,,500000.0
05526DBD6,2025-09-04,2025-12-04,1056,0,341719000.0,64,,,60000.0
05526DBF1,2025-09-04,2025-12-04,713,0,336699000.0,60,,,100000.0
05526DBK0,2025-09-04,2025-12-04,484,0,208682000.0,59,,,110000.0
05526DBN4,2025-09-04,2025-12-04,1107,0,182466000.0,65,,,20000.0
05526DBS3,2025-09-04,2025-12-04,1473,0,315820000.0,64,,,15000.0
05526DBW4,2025-09-04,2025-12-04,534,0,94501000.0,63,,,50000.0
05526DBY0,2025-09-04,2025-12-04,630,0,247396000.0,63,,,46000.0
05526DBZ7,2025-09-04,2025-12-04,681,0,396946000.0,62,,,95000.0
05526DCB9,2025-09-04,2025-12-04,859,0,496620000.0,64,,,119000.0
05526DCC7,2025-09-04,2025-12-04,2326,0,1010114000.0,64,,,8000.0
055451AR9,2025-09-04,2025-12-04,303,0,133833000.0,52,,,96000.0
055451AV0,2025-09-04,2025-12-04,1562,0,331483000.0,64,,,16000.0
055451BA5,2025-09-04,2025-12-04,448,0,101338000.0,59,,,70000.0
055451BD9,2025-09-04,2025-12-04,1311,0,222758000.0,64,,,19000.0
055451BE7,2025-09-04,2025-12-04,1222,0,287205000.0,63,,,23000.0
055451BF4,2025-09-04,2025-12-04,474,0,351665000.0,58,,,210000.0
055451BJ6,2025-09-04,2025-12-04,877,0,227015000.0,64,,,34000.0
055451BK3,2025-09-04,2025-12-04,382,0,190652000.0,62,,,50000.0
055451BL1,2025-09-04,2025-12-04,1142,0,982092000.0,64,,,100000.0
055451BM9,2025-09-04,2025-12-04,985,0,1846110000.0,63,,,692000.0
057224AZ0,2025-09-04,2025-12-04,1464,0,401472000.0,63,,,25000.0
05723KAF7,2025-09-04,2025-12-04,231,0,146596000.0,43,,,150000.0
05946KAR2,2025-09-04,2025-12-04,331,0,581357000.0,56,,,400000.0
05964HAM7,2025-09-04,2025-12-04,230,0,193958000.0,57,,,327500.0
05964HAV7,2025-09-04,2025-12-04,623,0,305811000.0,63,,,200000.0
05964HAZ8,2025-09-04,2025-12-04,309,0,432444000.0,55,,,600000.0
05964HBD6,2025-09-04,2025-12-04,458,0,342191000.0,59,,,200000.0
05964HBG9,2025-09-04,2025-12-04,335,0,253294000.0,57,,,370000.0
05964HBJ3,2025-09-04,2025-12-04,306,0,396015000.0,52,,,327500.0
05964HBK0,2025-09-04,2025-12-04,386,0,631833000.0,59,,,600000.0
05971KAF6,2025-09-04,2025-12-04,245,0,162732000.0,53,,,200000.0
05971KAG4,2025-09-04,2025-12-04,443,0,276780050.0,62,,,200000.0
05971KAR0,2025-09-04,2025-12-04,639,3,2856290000.0,26,,,1600000.0
