bond_id,Name,Sector,Rating_Bucket,Maturity_Bucket,Weight_Renorm,Sampled_Weight
185,GOLDMAN SACHS GROUP INC/THE,Banking,A-or-better,3-5yr,0.0007150041870612956,0.002466472334266276
151,GOLDMAN SACHS GROUP INC/THE,Banking,A-or-better,7-10yr,0.0007501650242156412,0.00245198163412086
155,MORGAN STANLEY MTN,Banking,A-or-better,7-10yr,0.0007464373709929743,0.002433620558587048
66,WELLS FARGO & COMPANY (FXD-FRN) MTN,Banking,A-or-better,10-15yr,0.0009415850545688132,0.0024253639463539907
135,GOLDMAN SACHS GROUP INC/THE,Banking,A-or-better,10-15yr,0.0007764600915431034,0.0024136742773461905
141,GOLDMAN SACHS GROUP INC/THE,Banking,A-or-better,7-10yr,0.0007671913321786339,0.002412032618696683
109,GOLDMAN SACHS GROUP INC/THE,Banking,A-or-better,7-10yr,0.0008389234698688752,0.0024090746652930565
99,MORGAN STANLEY MTN,Banking,A-or-better,7-10yr,0.0008576624833666068,0.0023008904467190514
16,BANK OF AMERICA CORP MTN,Banking,A-or-better,7-10yr,0.0012515847563565553,0.0022884368480310478
30,BANK OF AMERICA CORP MTN,Banking,A-or-better,7-10yr,0.0011345162956879313,0.002276364898846843
21,BANK OF AMERICA CORP MTN,Banking,A-or-better,7-10yr,0.0011817668189698458,0.002275717658839107
189,VERIZON COMMUNICATIONS INC,Communications,BBB,10-15yr,0.0007096645756882859,0.0022730221842285707
137,MORGAN STANLEY MTN,Banking,A-or-better,7-10yr,0.0007736391647800039,0.002240590283914407
2,T-MOBILE USA INC,Communications,BBB,3-5yr,0.0015566478363088737,0.0022334210870320727
170,GOLDMAN SACHS GROUP INC/THE,Banking,A-or-better,15-20yr,0.0007286050839548103,0.002205522212461967
111,MORGAN STANLEY MTN,Banking,A-or-better,7-10yr,0.0008191769825271795,0.002186297164284172
119,MORGAN STANLEY MTN,Banking,A-or-better,7-10yr,0.0008037626327145295,0.0021759918768609614
143,WELLS FARGO & COMPANY MTN,Banking,A-or-better,3-5yr,0.0007641689106467418,0.0021756898497455055
939,NOMURA HOLDINGS INC,Brokerage/Asset Managers/Exchanges,BBB,3-5yr,0.0003337760845052941,0.002174929544610655
191,WELLS FARGO & COMPANY MTN,Banking,A-or-better,7-10yr,0.0007072466384627722,0.0021460554752865913
105,BANK OF AMERICA CORP MTN,Banking,A-or-better,5-7yr,0.0008456735446234345,0.0021420380018120334
128,BANK OF AMERICA CORP MTN,Banking,A-or-better,5-7yr,0.0007876430512111045,0.0021200177512865296
1116,UNION PACIFIC CORPORATION,Transportation,A-or-better,5-7yr,0.0003082869962530033,0.002082510748654283
115,BANK OF AMERICA CORP MTN,Banking,A-or-better,3-5yr,0.0008102104653158995,0.0020782519025734033
174,BANK OF AMERICA CORP MTN,Banking,A-or-better,5-7yr,0.0007255826624229182,0.0020353755568599495
117,GOLDMAN SACHS GROUP INC/THE,Banking,A-or-better,5-7yr,0.0008057775804024575,0.00200744994033646
154,WELLS FARGO & COMPANY MTN,Banking,A-or-better,7-10yr,0.0007468403605305599,0.0019716481131805343
1031,INTERCONTINENTAL EXCHANGE INC,Brokerage/Asset Managers/Exchanges,A-or-better,5-7yr,0.00032057817714936486,0.0019437705726717599
142,GOLDMAN SACHS GROUP INC/THE,Banking,A-or-better,10-15yr,0.0007663853531034627,0.0019382518126423859
22,NVIDIA CORPORATION,Technology,A-or-better,7-10yr,0.0011738077756025297,0.0019368718541482078
292,VERIZON COMMUNICATIONS INC,Communications,BBB,7-10yr,0.0005875587457998414,0.0019303247977069833
104,WELLS FARGO & COMPANY MTN,Banking,A-or-better,7-10yr,0.0008458750393922274,0.0019104250734255422
160,JPMORGAN CHASE & CO,Banking,A-or-better,20yr+,0.00073646337993773,0.0018831811340346426
5,AMAZON.COM INC,Consumer Cyclical,A-or-better,7-10yr,0.001460534831594702,0.0018456846327384805
19,WELLS FARGO & COMPANY MTN,Banking,A-or-better,7-10yr,0.0012141067293610923,0.0018215173389310637
103,AMAZON.COM INC,Consumer Cyclical,A-or-better,7-10yr,0.0008459757867766237,0.0017839881860626772
34,BANK OF AMERICA CORP,Banking,A-or-better,5-7yr,0.001099254711149189,0.0017627966979201972
126,JPMORGAN CHASE & CO,Banking,A-or-better,5-7yr,0.0007915721992025643,0.0017476851682533317
15,SPACE EXPLORATION TECHNOLOGIES COR 144A,Communications,BBB,3-5yr,0.0012658908849408452,0.0016980072126375992
1201,PACIFICORP,Electric,BBB,7-10yr,0.00029710403658500214,0.0016931880942255325
232,VERIZON COMMUNICATIONS INC,Communications,BBB,7-10yr,0.0006447832601370003,0.0016898748457273311
118,JPMORGAN CHASE & CO,Banking,A-or-better,5-7yr,0.0008052738434804756,0.0016387784706470858
283,AT&T INC,Communications,BBB,7-10yr,0.0005932005993260403,0.0015705432661128175
106,AT&T INC,Communications,BBB,7-10yr,0.0008430541126291279,0.0015376749460200068
172,HSBC HOLDINGS PLC,Banking,A-or-better,10-15yr,0.000726791631035675,0.0015213611662116188
157,JPMORGAN CHASE & CO,Banking,A-or-better,10-15yr,0.0007442209285362534,0.001468294361236968
168,AT&T INC,Communications,BBB,7-10yr,0.0007294110630299816,0.001445481211839733
1174,SOUTHERN COMPANY (THE),Electric,BBB,7-10yr,0.00030022720550129076,0.0014279264213108915
123,MORGAN STANLEY MTN,Banking,A-or-better,10-15yr,0.0007955013471940242,0.001367195730719113
180,JPMORGAN CHASE & CO,Banking,A-or-better,3-5yr,0.0007206460405874942,0.0013211282642166253
303,VERIZON COMMUNICATIONS INC,Communications,BBB,7-10yr,0.0005815139027360571,0.001300649828603372
23,ORACLE CORPORATION,Technology,BBB,7-10yr,0.0011596023944026364,0.0012975397924848528
153,MORGAN STANLEY (FXD-FRN) MTN,Banking,A-or-better,7-10yr,0.0007470418552993527,0.001286521370940927
3,GOLDMAN SACHS GROUP INC/THE,Banking,BBB,10-15yr,0.001488542604456903,0.001264435857125392
188,JPMORGAN CHASE & CO,Banking,A-or-better,10-15yr,0.0007101683126102679,0.0012368950637877466
9,SPACE EXPLORATION TECHNOLOGIES COR 144A,Communications,BBB,7-10yr,0.0013681494801031976,0.0012169775313128973
161,MORGAN STANLEY MTN,Banking,A-or-better,3-5yr,0.0007352544113249732,0.0011975287276466886
152,CITIGROUP INC,Banking,A-or-better,7-10yr,0.0007495605399092628,0.0011650715544217532
125,MORGAN STANLEY MTN,Banking,A-or-better,5-7yr,0.0007926804204309247,0.0011566562364394488
139,MORGAN STANLEY MTN,Banking,A-or-better,3-5yr,0.0007672920795630304,0.0011439194564868158
112,WELLS FARGO & COMPANY MTN,Banking,A-or-better,10-15yr,0.0008189754877583868,0.001074207858526273
140,MORGAN STANLEY MTN,Banking,A-or-better,5-7yr,0.0007672920795630304,0.0010290881510330839
